ResolvedPersonID,n_cases,dominant_mo_phrase,mo_consistency,n_districts_with_dominant_mo
1,2,The accused was known to the victim through a prior personal dispute.,1.0,2
2,2,The accused gained entry through a rear window left unlatched.,1.0,1
3,1,The accused gained entry through a rear window left unlatched.,1.0,1
4,3,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.667,2
5,1,The accused gained entry through a rear window left unlatched.,1.0,1
6,1,The accused gained entry through a rear window left unlatched.,1.0,1
7,1,The accused acted as part of an organized group during the incident.,1.0,1
9,12,The accused used a rented vehicle with tampered number plates to transport stolen goods.,0.417,3
11,1,The accused gained entry through a rear window left unlatched.,1.0,1
12,52,The accused gained entry through a rear window left unlatched.,0.192,1
13,1,The accused was a person known to the victim's family.,1.0,1
14,1,The accused gained entry through a rear window left unlatched.,1.0,1
16,2,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,2
18,1,The accused used a spoofed phone number to contact the victim.,1.0,1
20,51,The accused used a duplicate key/lock-picking method to gain entry.,0.275,3
21,1,The accused approached the victim through a fake social media profile.,1.0,1
23,1,The accused was a person known to the victim's family.,1.0,1
24,1,The accused used a duplicate key/lock-picking method to gain entry.,1.0,1
25,51,The accused targeted unattended shops during the late-night hours.,0.235,2
26,1,The accused gained entry through a rear window left unlatched.,1.0,1
28,5,The accused targeted unattended shops during the late-night hours.,0.4,2
29,5,The accused targeted unattended shops during the late-night hours.,0.8,2
31,1,The accused gained entry through a rear window left unlatched.,1.0,1
32,1,The accused gained entry through a rear window left unlatched.,1.0,1
34,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
36,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
37,1,"The accused worked in a group of two, one keeping watch while the other broke in.",1.0,1
38,1,The accused targeted unattended shops during the late-night hours.,1.0,1
39,1,The accused targeted unattended shops during the late-night hours.,1.0,1
41,2,The accused targeted unattended shops during the late-night hours.,0.5,1
43,45,The accused lured the victim on the pretext of a job offer.,0.178,1
45,1,The accused used a two-wheeler to approach and flee the scene rapidly.,1.0,1
48,51,The accused targeted unattended shops during the late-night hours.,0.196,1
50,1,The accused approached the victim through a fake social media profile.,1.0,1
51,2,The accused approached the victim through a fake social media profile.,0.5,1
52,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
53,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
54,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
55,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
57,1,The accused gained entry through a rear window left unlatched.,1.0,1
59,1,The accused gained entry through a rear window left unlatched.,1.0,1
60,1,The accused gained entry through a rear window left unlatched.,1.0,1
61,49,The accused used a duplicate key/lock-picking method to gain entry.,0.224,2
63,1,The accused was a person known to the victim's family.,1.0,1
65,1,The accused operated in daylight hours near crowded public spaces.,1.0,1
66,45,The accused gained entry through a rear window left unlatched.,0.2,1
67,1,The accused wore a helmet throughout to avoid CCTV identification.,1.0,1
